市区町村コード,地区名,都道府県,更新日時,URL,緯度,経度
172014,金沢市,石川県,2013.9.9,http://kanazawa.5374.jp/,36.561325,136.656205
011002,札幌市,北海道,2014.2.22,http://sapporo.5374.jp/,43.062096,141.354376
083020,茨城町,茨城県,2014.2.2,http://ibaraki-town.5374.jp/,36.286922,140.424513
082244,守谷市,茨城県,2014.2.25,http://moriya.5374.jp/,35.951421,139.975391
122211,八千代市,千葉県,2014.3.3,http://yachiyo.5374.jp/,35.722468,140.099772
112089,所沢市,埼玉県,2014.3.16,http://tokorozawa.5374.jp/,35.799671,139.46861
131130,渋谷区,東京都,2014.2.22,http://shibuya.5374.jp/,35.664035,139.698212
132136,東村山市,東京都,2014.2.24,http://hm.5374.jp/,35.754597,139.468489
132047,三鷹市,東京都,2014.2.27,http://mitaka.5374.jp/,35.683513,139.559584
132021,立川市,東京都,2014.2.28,http://tachikawa.5374.jp/,35.714014,139.407843
131156,杉並区,東京都,2014.3.6,http://suginami.5374.jp/,35.699566,139.636438
131121,世田谷区,東京都,2014.3.16,http://setagaya.5374.jp/,35.64597,139.652769
141330,川崎市中原区,神奈川県,2014.3.3,http://kawasaki-nakaharaku.5374.jp/,35.576378,139.655605
172120,野々市市,石川県,2014.2.22,http://nonoichi.5374.jp/,36.519704,136.609971
242161,伊賀市,三重県,2014.3.8,http://iga.5374.jp/,34.768595,136.12991
271403,堺市,大阪府,2014.3.4,http://sakai.5374.jp/,34.573262,135.482998
292095,生駒市,奈良県,2014.1.14,http://ikoma.5374.jp/,34.69196,135.700536
292044,天理市,奈良県,2014.2.10,http://tenri.5374.jp/,34.596647,135.837331
341002,広島市,広島県,2014.3.11,http://hiroshima.5374.jp/,34.385203,132.455293
472077,石垣市,沖縄県,2013.12.29,http://ishigaki.5374.jp/,24.340661,124.15558
472123,豊見城市,沖縄県,2013.12.29,http://tomigusuku.5374.jp/,26.161006,127.668944
202151,塩尻市,長野県,2014.3.25,http://shiojiri.5374.jp/,36.114972,137.953449
172090,かほく市,石川県,2014.4.3,http://kahoku.5374.jp/,36.719826,136.706727
112259,入間市,埼玉県,2014.4.10,http://iruma.5374.jp/,35.835766,139.391058
202070,須坂市,長野県,2014.5.20,http://suzaka.5374.jp/,36.651097,138.307192
132012,八王子市,東京都,2014.3.26,http://hachioji.5374.jp/,35.655641,139.338968
304280,串本町,和歌山県,2014.4.6,http://5374.kushimo.to/,33.47247,135.781498
122041,船橋市,千葉県,2014.3.28,http://funabashi-city.github.io/5374/,35.694706,139.982618
142107,三浦市,神奈川県,2014.5.20,http://miura.5374.jp/,35.144171,139.62077
271004,大阪市,大阪府,2014.5.13,http://osaka.5374.jp/,34.693738,135.502165
132101,小金井市,東京都,2014.5.7,http://koganei.5374.jp/,35.699473,139.502992
121037,千葉市稲毛区,千葉県,2014.5.26,http://chiba-inageku.5374.jp,35.636212,140.107083
121045,千葉市若葉区,千葉県,2014.8.28,http://chiba-wakabaku.5374.jp,35.633988,140.155661
121011,千葉市中央区,千葉県,2014.8.28,http://chiba-tyuuouku.5374.jp,35.608932,140.124636
121061,千葉市美浜区,千葉県,2014.8.28,http://chiba-mihamaku.5374.jp,35.640485,140.06304
121053,千葉市緑区,千葉県,2014.8.28,http://chiba-midoriku.5374.jp,35.560459,140.176164
121029,千葉市花見川区,千葉県,2014.8.28,http://chiba-hanamigawaku.5374.jp,35.662977,140.069167
472085,浦添市,沖縄県,2014.5.13,http://urasoe.5374.jp,26.245816,127.721799
142107,三浦市,神奈川県,2014.5.20,http://miura.5374.jp/,35.144171,139.62077
173614,河北郡津幡町,石川県,2014.6.4,http://tsubata.5374.jp/,36.668693,136.728442
143014,三浦郡葉山町,神奈川県,2014.6.30,http://hayama.5374.jp/,35.272089,139.5862
212148,可児郡御嵩町,岐阜県,2014.7.8,http://mitake.5374.jp/,35.434245,137.13079
324418,邑智郡川本町,島根県,2014.7.19,http://kawamoto.5374.jp/,34.994145,132.495496
141305,川崎市,神奈川県,2014.7.21,http://kawasaki.5374.jp,35.530906,139.703051
142158,海老名市,静岡県,2014.9.25,http://ebina.5374.jp/,35.446446,139.390803
401307,福岡市,福岡県,2014.9.26,http://fukuoka.5374.jp/,33.590355,130.401716
131211,足立区,東京都,2014.10.2,http://adachi.5374.jp/,35.775664,139.804479
442020,別府市,東京都,2014.10.6,http://beppu.5374.jp/,33.28462,131.491214
131199,板橋区,東京都,2014.10.6,http://itabashi.5374.jp/,35.751165,139.709244
412015,佐賀市,東京都,2014.10.7,http://saga.5374.jp/,33.263482,130.300858
173657,河北郡内灘町,石川県,2014.10.8,http://uchinada.5374.jp/,36.653494,136.645086
472018,那覇市,沖縄県,2014.10.24,http://naha.5374.jp/,26.212312,127.679157
122246,鎌ケ谷市,千葉県,2014.10.24,http://kamagaya.5374.jp/,35.77675,140.00079
